Timestamp,kWh,iKW_TR,Temp,Load
2026-02-01 00:00:00,457.07,0.842,27.11,56.37
2026-02-01 01:00:00,480.33,0.899,28.83,59.72
2026-02-01 02:00:00,456.3,0.857,31.41,51.73
2026-02-01 03:00:00,477.78,0.857,31.36,59.34
2026-02-01 04:00:00,452.53,0.865,32.73,52.12
2026-02-01 05:00:00,466.77,0.829,32.87,55.59
2026-02-01 06:00:00,473.33,0.907,31.93,54.46
2026-02-01 07:00:00,482.89,0.864,32.83,55.38
2026-02-01 08:00:00,526.01,0.95,31.61,67.32
2026-02-01 09:00:00,521.62,0.934,30.89,70.52
2026-02-01 10:00:00,517.0,0.943,30.34,69.26
2026-02-01 11:00:00,489.63,0.882,27.79,64.72
2026-02-01 12:00:00,580.69,0.962,29.07,81.76
2026-02-01 13:00:00,559.34,0.957,26.23,82.06
2026-02-01 14:00:00,550.86,0.902,26.65,78.84
2026-02-01 15:00:00,523.39,0.905,24.94,73.55
2026-02-01 16:00:00,547.85,0.955,25.48,78.36
2026-02-01 17:00:00,461.81,0.884,23.06,59.85
2026-02-01 18:00:00,458.23,0.855,23.22,58.07
2026-02-01 19:00:00,422.95,0.897,23.96,49.13
2026-02-01 20:00:00,437.39,0.909,22.12,56.49
2026-02-01 21:00:00,450.24,0.846,25.56,53.13
2026-02-01 22:00:00,497.3,0.905,27.14,63.44
2026-02-01 23:00:00,467.84,0.881,27.85,55.07
2026-02-02 00:00:00,469.78,0.914,28.68,54.04
2026-02-02 01:00:00,478.96,0.863,29.03,57.29
2026-02-02 02:00:00,456.66,0.922,31.4,52.07
2026-02-02 03:00:00,457.12,0.91,32.15,50.66
2026-02-02 04:00:00,475.08,0.88,32.25,57.14
2026-02-02 05:00:00,468.59,0.869,32.35,53.04
2026-02-02 06:00:00,483.5,0.858,32.17,58.9
2026-02-02 07:00:00,457.17,0.931,31.24,56.34
2026-02-02 08:00:00,497.92,0.87,33.0,61.68
2026-02-02 09:00:00,512.1,0.895,29.23,67.27
2026-02-02 10:00:00,521.93,0.967,29.92,71.63
2026-02-02 11:00:00,554.72,0.941,29.31,77.41
2026-02-02 12:00:00,555.33,0.924,28.77,76.59
2026-02-02 13:00:00,516.99,0.913,28.42,71.17
2026-02-02 14:00:00,555.03,0.907,26.64,78.49
2026-02-02 15:00:00,533.47,0.861,24.56,73.94
2026-02-02 16:00:00,492.02,0.909,24.76,66.46
2026-02-02 17:00:00,504.92,0.859,22.52,70.12
2026-02-02 18:00:00,464.67,0.947,24.79,59.69
2026-02-02 19:00:00,419.95,0.813,23.51,48.02
2026-02-02 20:00:00,449.68,0.863,23.5,54.7
2026-02-02 21:00:00,450.47,0.871,24.24,52.3
2026-02-02 22:00:00,425.01,0.848,25.69,48.19
2026-02-02 23:00:00,451.75,0.881,26.48,56.25
2026-02-03 00:00:00,427.23,0.899,30.06,50.8
2026-02-03 01:00:00,468.76,0.93,28.52,57.87
2026-02-03 02:00:00,442.92,0.884,30.28,51.41
2026-02-03 03:00:00,484.7,0.892,31.21,58.91
2026-02-03 04:00:00,477.97,0.902,31.92,56.7
2026-02-03 05:00:00,461.36,0.891,32.4,55.43
2026-02-03 06:00:00,460.79,0.861,32.07,51.98
2026-02-03 07:00:00,482.14,0.894,31.82,58.62
2026-02-03 08:00:00,498.28,0.937,31.12,63.23
2026-02-03 09:00:00,502.66,0.903,29.84,65.55
2026-02-03 10:00:00,548.44,0.914,30.44,74.29
2026-02-03 11:00:00,534.83,0.906,30.05,71.68
2026-02-03 12:00:00,531.78,0.925,27.51,73.06
2026-02-03 13:00:00,557.6,0.926,26.33,78.62
2026-02-03 14:00:00,547.29,0.925,25.47,78.47
2026-02-03 15:00:00,541.89,0.898,24.4,77.5
2026-02-03 16:00:00,520.63,0.826,22.81,72.23
2026-02-03 17:00:00,518.5,0.882,24.88,71.96
2026-02-03 18:00:00,447.75,0.874,23.9,56.05
2026-02-03 19:00:00,471.33,0.848,23.01,57.27
2026-02-03 20:00:00,463.24,0.896,24.37,55.9
2026-02-03 21:00:00,465.29,0.855,24.42,60.42
2026-02-03 22:00:00,450.8,0.81,25.56,55.5
2026-02-03 23:00:00,456.73,0.906,27.16,56.27
2026-02-04 00:00:00,479.8,0.886,28.86,62.05
2026-02-04 01:00:00,481.63,0.89,30.53,58.19
2026-02-04 02:00:00,489.43,0.837,31.78,57.43
2026-02-04 03:00:00,464.23,0.873,30.96,53.44
2026-02-04 04:00:00,481.77,0.883,31.45,55.56
2026-02-04 05:00:00,442.15,0.881,32.44,48.39
2026-02-04 06:00:00,459.93,0.911,32.62,51.63
2026-02-04 07:00:00,472.82,0.872,31.69,57.59
2026-02-04 08:00:00,465.07,0.878,31.34,54.09
2026-02-04 09:00:00,525.48,0.957,31.91,67.37
2026-02-04 10:00:00,621.87,1.028,31.73,72.04
2026-02-04 11:00:00,557.49,0.959,28.96,77.34
2026-02-04 12:00:00,520.91,0.851,27.42,71.4
2026-02-04 13:00:00,526.28,0.896,26.58,70.88
2026-02-04 14:00:00,572.05,0.954,24.85,82.62
2026-02-04 15:00:00,540.29,0.927,24.57,76.23
2026-02-04 16:00:00,516.22,0.948,24.48,73.61
2026-02-04 17:00:00,525.37,0.889,23.58,73.47
2026-02-04 18:00:00,482.29,0.889,24.61,61.91
2026-02-04 19:00:00,416.49,0.79,23.79,47.14
2026-02-04 20:00:00,441.39,0.83,24.54,53.75
2026-02-04 21:00:00,460.89,0.895,24.68,58.27
2026-02-04 22:00:00,460.16,0.857,26.93,53.3
2026-02-04 23:00:00,452.32,0.9,25.74,53.79
2026-02-05 00:00:00,462.81,0.867,27.73,52.59
2026-02-05 01:00:00,471.66,0.906,28.11,60.87
2026-02-05 02:00:00,490.04,0.868,30.99,59.97
2026-02-05 03:00:00,452.75,0.845,31.95,47.76
2026-02-05 04:00:00,511.18,0.931,31.43,62.62
2026-02-05 05:00:00,458.1,0.903,33.84,51.9
2026-02-05 06:00:00,513.18,0.9,32.23,63.11
2026-02-05 07:00:00,455.08,0.903,31.1,49.74
2026-02-05 08:00:00,518.8,0.93,31.64,65.62
2026-02-05 09:00:00,508.28,0.936,31.51,64.73
2026-02-05 10:00:00,536.41,0.899,30.04,71.35
2026-02-05 11:00:00,569.39,0.9,31.2,79.32
2026-02-05 12:00:00,537.45,0.913,28.77,75.22
2026-02-05 13:00:00,541.57,0.93,28.39,80.26
2026-02-05 14:00:00,562.1,0.875,27.0,79.41
2026-02-05 15:00:00,557.87,0.843,23.3,80.55
2026-02-05 16:00:00,544.55,0.919,23.76,77.44
2026-02-05 17:00:00,519.49,0.934,21.2,74.52
2026-02-05 18:00:00,476.11,0.886,22.92,62.43
2026-02-05 19:00:00,449.18,0.869,24.66,56.63
2026-02-05 20:00:00,453.42,0.874,23.34,52.73
2026-02-05 21:00:00,440.36,0.875,24.24,51.93
2026-02-05 22:00:00,442.18,0.838,26.04,49.72
2026-02-05 23:00:00,454.22,0.886,27.54,54.09
2026-02-06 00:00:00,446.47,0.916,27.68,55.63
2026-02-06 01:00:00,469.13,0.894,28.93,55.08
2026-02-06 02:00:00,485.23,0.885,30.98,57.29
2026-02-06 03:00:00,460.59,0.901,31.41,49.58
2026-02-06 04:00:00,495.48,0.916,31.64,61.93
2026-02-06 05:00:00,472.87,0.86,32.63,56.23
2026-02-06 06:00:00,489.4,0.934,32.57,59.37
2026-02-06 07:00:00,469.4,0.915,32.58,56.38
2026-02-06 08:00:00,478.18,0.905,33.7,57.71
2026-02-06 09:00:00,513.62,0.916,30.91,65.7
2026-02-06 10:00:00,478.18,0.896,29.76,58.78
2026-02-06 11:00:00,547.26,0.895,30.44,76.64
2026-02-06 12:00:00,551.86,0.933,27.36,77.9
2026-02-06 13:00:00,572.12,0.926,28.38,83.85
2026-02-06 14:00:00,535.73,0.934,25.58,71.16
2026-02-06 15:00:00,532.11,0.89,24.88,75.47
2026-02-06 16:00:00,526.34,0.875,24.76,70.75
2026-02-06 17:00:00,486.01,0.859,24.75,61.95
2026-02-06 18:00:00,461.38,0.906,24.4,55.34
2026-02-06 19:00:00,435.37,0.864,23.47,50.3
2026-02-06 20:00:00,466.19,0.862,23.77,58.94
2026-02-06 21:00:00,470.23,0.843,25.13,58.94
2026-02-06 22:00:00,429.79,0.944,25.87,49.24
2026-02-06 23:00:00,457.33,0.879,26.26,54.33
2026-02-07 00:00:00,476.15,0.865,28.37,56.89
2026-02-07 01:00:00,453.71,0.872,30.06,56.3
2026-02-07 02:00:00,433.87,0.911,30.4,48.93
