Timestamp,kWh,iKW_TR,Temp,Load
2026-02-01 00:00:00,491.24,0.983,29.97,59.19
2026-02-01 01:00:00,477.95,0.978,32.39,56.14
2026-02-01 02:00:00,460.65,1.082,32.73,51.53
2026-02-01 03:00:00,483.28,0.955,33.97,50.34
2026-02-01 04:00:00,515.56,0.901,33.37,59.54
2026-02-01 05:00:00,481.36,1.029,34.61,54.68
2026-02-01 06:00:00,495.67,0.967,34.29,57.56
2026-02-01 07:00:00,501.86,1.044,34.56,57.72
2026-02-01 08:00:00,512.11,0.979,33.71,62.99
2026-02-01 09:00:00,566.48,1.023,34.21,77.77
2026-02-01 10:00:00,560.31,1.007,31.54,75.47
2026-02-01 11:00:00,572.49,0.995,30.65,78.18
2026-02-01 12:00:00,582.01,1.034,30.25,79.15
2026-02-01 13:00:00,612.2,1.112,28.39,87.36
2026-02-01 14:00:00,576.1,0.978,26.94,81.44
2026-02-01 15:00:00,596.29,1.055,27.55,85.44
2026-02-01 16:00:00,560.02,0.992,25.4,78.5
2026-02-01 17:00:00,536.9,1.003,26.44,69.08
2026-02-01 18:00:00,501.46,1.043,24.07,66.49
2026-02-01 19:00:00,491.29,0.99,22.57,60.19
2026-02-01 20:00:00,457.39,1.067,25.72,54.69
2026-02-01 21:00:00,489.01,0.919,26.57,58.99
2026-02-01 22:00:00,500.7,0.91,28.86,59.44
2026-02-01 23:00:00,486.53,0.981,27.82,58.36
2026-02-02 00:00:00,497.96,1.014,30.16,60.49
2026-02-02 01:00:00,495.44,1.05,30.32,57.48
2026-02-02 02:00:00,521.63,0.979,32.84,64.38
2026-02-02 03:00:00,533.5,1.019,34.41,68.24
2026-02-02 04:00:00,487.0,0.956,34.54,56.44
2026-02-02 05:00:00,464.26,1.042,34.13,50.42
2026-02-02 06:00:00,512.43,1.057,35.27,59.6
2026-02-02 07:00:00,503.03,1.025,36.14,59.89
2026-02-02 08:00:00,536.38,1.014,35.12,65.43
2026-02-02 09:00:00,522.48,1.013,33.01,66.06
2026-02-02 10:00:00,574.95,0.979,31.34,77.95
2026-02-02 11:00:00,591.71,0.96,31.32,84.02
2026-02-02 12:00:00,573.8,1.074,30.75,79.9
2026-02-02 13:00:00,621.27,1.069,28.94,91.43
2026-02-02 14:00:00,566.3,1.042,26.79,79.88
2026-02-02 15:00:00,587.28,0.995,25.69,83.75
2026-02-02 16:00:00,549.34,0.961,26.29,75.93
2026-02-02 17:00:00,494.63,1.039,25.08,65.3
2026-02-02 18:00:00,489.66,1.011,23.9,64.86
2026-02-02 19:00:00,466.99,0.975,24.47,57.67
2026-02-02 20:00:00,533.01,1.067,26.14,68.77
2026-02-02 21:00:00,504.12,1.081,26.83,62.51
2026-02-02 22:00:00,508.22,1.085,27.06,65.81
2026-02-02 23:00:00,511.84,0.982,29.15,64.19
2026-02-03 00:00:00,501.71,1.025,29.71,58.37
2026-02-03 01:00:00,474.13,1.041,30.22,55.72
2026-02-03 02:00:00,533.83,0.944,33.31,65.43
2026-02-03 03:00:00,489.99,1.126,33.28,53.77
2026-02-03 04:00:00,491.77,0.977,33.92,58.36
2026-02-03 05:00:00,497.34,1.05,36.5,55.83
2026-02-03 06:00:00,505.89,1.049,36.09,61.02
2026-02-03 07:00:00,544.16,1.08,35.12,66.18
2026-02-03 08:00:00,520.49,1.006,33.08,64.09
2026-02-03 09:00:00,528.66,0.974,34.28,67.05
2026-02-03 10:00:00,590.29,1.039,32.49,80.77
2026-02-03 11:00:00,559.8,1.035,30.79,74.4
2026-02-03 12:00:00,598.99,0.98,28.34,84.7
2026-02-03 13:00:00,577.78,1.1,30.33,81.77
2026-02-03 14:00:00,609.85,0.928,26.3,85.37
2026-02-03 15:00:00,589.65,1.061,27.75,82.49
2026-02-03 16:00:00,535.93,1.07,25.78,72.57
2026-02-03 17:00:00,576.11,0.993,24.22,78.73
2026-02-03 18:00:00,535.56,0.926,25.54,70.52
2026-02-03 19:00:00,462.72,0.977,24.42,54.61
2026-02-03 20:00:00,463.89,0.975,24.89,53.68
2026-02-03 21:00:00,485.31,0.969,26.33,56.59
2026-02-03 22:00:00,473.39,0.925,27.17,52.95
2026-02-03 23:00:00,479.15,1.135,27.85,53.92
2026-02-04 00:00:00,516.02,1.0,30.06,62.39
2026-02-04 01:00:00,507.7,0.973,31.74,58.31
2026-02-04 02:00:00,515.67,0.982,33.41,61.2
2026-02-04 03:00:00,534.93,1.044,32.72,66.78
2026-02-04 04:00:00,503.71,1.01,34.08,57.72
2026-02-04 05:00:00,505.89,0.934,33.63,56.03
2026-02-04 06:00:00,512.56,0.985,36.11,58.05
2026-02-04 07:00:00,513.56,1.035,35.93,62.32
2026-02-04 08:00:00,527.88,0.994,33.98,65.85
2026-02-04 09:00:00,522.7,1.057,34.89,63.76
2026-02-04 10:00:00,565.33,1.043,31.97,73.86
2026-02-04 11:00:00,578.76,1.074,30.67,74.82
2026-02-04 12:00:00,566.87,1.069,29.45,79.03
2026-02-04 13:00:00,560.56,1.05,28.67,78.02
2026-02-04 14:00:00,588.29,1.115,27.75,85.32
2026-02-04 15:00:00,591.52,0.961,26.15,83.96
2026-02-04 16:00:00,555.32,0.941,26.14,75.9
2026-02-04 17:00:00,529.87,0.962,25.6,66.9
2026-02-04 18:00:00,504.13,0.985,26.41,65.34
