Timestamp,kWh,iKW_TR,Temp,Load
2026-02-01 00:00:00,542.78,0.911,29.61,67.66
2026-02-01 01:00:00,529.75,0.995,33.05,64.31
2026-02-01 02:00:00,591.21,0.949,35.39,73.44
2026-02-01 03:00:00,538.23,0.963,35.26,64.43
2026-02-01 04:00:00,529.57,0.872,36.42,61.76
2026-02-01 05:00:00,513.79,0.835,36.81,57.66
2026-02-01 06:00:00,553.25,0.937,36.4,65.9
2026-02-01 07:00:00,540.55,0.959,36.59,64.66
2026-02-01 08:00:00,592.52,0.959,34.44,76.84
2026-02-01 09:00:00,631.1,0.982,35.43,84.49
2026-02-01 10:00:00,637.72,0.963,33.16,90.29
2026-02-01 11:00:00,635.75,0.976,33.22,88.3
2026-02-01 12:00:00,636.31,0.983,30.74,90.01
2026-02-01 13:00:00,650.61,0.956,29.51,94.31
2026-02-01 14:00:00,615.74,0.912,28.09,91.34
2026-02-01 15:00:00,623.58,0.95,26.41,92.52
2026-02-01 16:00:00,609.45,1.004,26.74,86.01
2026-02-01 17:00:00,598.86,0.852,25.48,83.86
2026-02-01 18:00:00,546.33,0.901,24.59,71.66
2026-02-01 19:00:00,473.55,0.909,25.3,58.59
2026-02-01 20:00:00,528.13,0.868,26.1,68.74
2026-02-01 21:00:00,551.62,1.003,27.5,76.29
2026-02-01 22:00:00,556.72,0.922,28.46,68.55
2026-02-01 23:00:00,494.51,0.93,29.18,59.77
2026-02-02 00:00:00,515.51,0.89,31.27,60.05
2026-02-02 01:00:00,577.16,0.921,34.46,72.41
2026-02-02 02:00:00,532.45,0.929,33.52,65.45
2026-02-02 03:00:00,528.28,0.913,32.36,65.96
2026-02-02 04:00:00,534.97,0.911,34.75,63.7
2026-02-02 05:00:00,543.14,0.908,35.73,69.97
2026-02-02 06:00:00,553.84,0.967,37.58,66.84
2026-02-02 07:00:00,526.41,0.875,37.42,61.18
2026-02-02 08:00:00,572.66,0.993,35.33,71.75
2026-02-02 09:00:00,582.0,0.973,35.1,79.84
2026-02-02 10:00:00,624.39,0.954,33.66,85.31
2026-02-02 11:00:00,660.03,0.998,31.3,94.95
2026-02-02 12:00:00,629.27,0.915,31.08,91.49
2026-02-02 13:00:00,648.91,0.963,29.91,94.28
2026-02-02 14:00:00,661.69,0.93,27.29,100.0
2026-02-02 15:00:00,672.5,0.97,27.33,98.94
2026-02-02 16:00:00,791.54,1.06,27.26,94.82
2026-02-02 17:00:00,586.91,0.896,24.15,82.67
2026-02-02 18:00:00,553.75,0.895,25.67,77.12
2026-02-02 19:00:00,502.75,0.928,26.4,62.81
2026-02-02 20:00:00,513.93,0.888,27.17,63.2
2026-02-02 21:00:00,495.95,0.862,26.11,60.05
2026-02-02 22:00:00,532.63,0.931,27.9,67.99
2026-02-02 23:00:00,556.19,0.946,29.61,68.87
2026-02-03 00:00:00,550.93,0.929,31.96,68.39
2026-02-03 01:00:00,548.96,0.88,34.2,64.69
2026-02-03 02:00:00,538.65,0.977,33.96,64.49
2026-02-03 03:00:00,562.86,0.942,36.05,69.82
2026-02-03 04:00:00,526.17,0.988,35.61,61.97
2026-02-03 05:00:00,541.52,0.935,36.0,66.83
2026-02-03 06:00:00,573.03,0.985,37.48,70.93
2026-02-03 07:00:00,574.23,0.878,37.79,68.15
2026-02-03 08:00:00,588.7,0.94,37.46,75.41
2026-02-03 09:00:00,619.01,0.942,34.25,83.07
2026-02-03 10:00:00,624.02,1.037,32.85,89.13
2026-02-03 11:00:00,641.57,0.95,33.93,91.46
2026-02-03 12:00:00,621.21,0.909,29.09,88.28
2026-02-03 13:00:00,625.22,0.938,29.39,88.55
2026-02-03 14:00:00,648.61,0.938,27.69,96.08
2026-02-03 15:00:00,630.67,0.961,28.38,91.05
2026-02-03 16:00:00,637.91,0.923,26.36,94.49
2026-02-03 17:00:00,593.55,0.905,26.17,81.59
2026-02-03 18:00:00,594.87,0.974,25.66,82.43
2026-02-03 19:00:00,509.84,0.824,25.46,62.7
2026-02-03 20:00:00,544.59,0.959,26.77,71.82
2026-02-03 21:00:00,529.41,0.962,26.27,68.06
2026-02-03 22:00:00,567.57,0.969,27.31,71.5
2026-02-03 23:00:00,524.81,0.854,29.19,62.7
2026-02-04 00:00:00,534.83,0.865,30.83,62.96
2026-02-04 01:00:00,540.0,0.922,31.77,63.96
2026-02-04 02:00:00,570.16,0.945,33.85,72.14
2026-02-04 03:00:00,563.44,0.88,36.88,68.13
2026-02-04 04:00:00,573.01,0.989,35.52,71.15
2026-02-04 05:00:00,522.32,1.001,37.13,61.76
2026-02-04 06:00:00,581.12,0.923,36.23,72.77
2026-02-04 07:00:00,567.28,0.934,37.37,71.14
2026-02-04 08:00:00,561.97,1.016,34.73,71.4
2026-02-04 09:00:00,599.92,0.969,35.7,78.14
2026-02-04 10:00:00,654.04,0.979,34.07,87.07
2026-02-04 11:00:00,639.07,0.982,32.8,94.29
2026-02-04 12:00:00,629.62,0.889,29.86,94.32
2026-02-04 13:00:00,664.25,0.934,29.16,98.59
2026-02-04 14:00:00,613.6,1.016,29.48,90.35
2026-02-04 15:00:00,649.69,0.921,25.73,97.36
2026-02-04 16:00:00,611.48,1.003,25.87,92.02
2026-02-04 17:00:00,605.9,0.974,26.1,84.61
2026-02-04 18:00:00,545.27,0.893,27.27,69.68
2026-02-04 19:00:00,537.33,0.958,26.78,69.93
2026-02-04 20:00:00,525.62,0.937,27.47,61.6
2026-02-04 21:00:00,553.91,1.007,26.69,71.6
2026-02-04 22:00:00,520.15,0.924,28.42,61.01
2026-02-04 23:00:00,521.48,0.931,28.91,65.22
2026-02-05 00:00:00,555.95,0.89,30.72,69.38
2026-02-05 01:00:00,516.62,1.004,32.52,61.85
2026-02-05 02:00:00,536.13,0.834,33.07,58.38
2026-02-05 03:00:00,551.49,0.941,36.07,63.92
2026-02-05 04:00:00,544.86,0.95,35.8,64.09
2026-02-05 05:00:00,553.82,0.953,35.98,64.16
2026-02-05 06:00:00,553.97,0.957,35.7,66.49
2026-02-05 07:00:00,551.63,0.938,37.44,65.68
2026-02-05 08:00:00,584.82,1.017,36.35,73.96
2026-02-05 09:00:00,577.15,1.0,34.62,77.47
2026-02-05 10:00:00,616.17,1.002,32.66,85.36
2026-02-05 11:00:00,655.83,1.073,33.13,93.62
2026-02-05 12:00:00,632.34,0.94,30.85,91.14
2026-02-05 13:00:00,657.87,0.958,30.42,91.33
2026-02-05 14:00:00,644.06,0.975,28.25,94.69
2026-02-05 15:00:00,670.84,0.922,28.38,100.0
2026-02-05 16:00:00,665.44,1.014,26.18,95.85
2026-02-05 17:00:00,560.65,0.914,27.1,71.45
2026-02-05 18:00:00,572.62,0.934,26.21,71.85
2026-02-05 19:00:00,524.91,0.933,24.47,65.29
2026-02-05 20:00:00,513.32,0.919,25.96,65.36
2026-02-05 21:00:00,511.37,0.886,28.5,65.66
2026-02-05 22:00:00,616.6,1.054,28.49,63.43
2026-02-05 23:00:00,534.92,0.88,29.1,65.06
2026-02-06 00:00:00,530.75,0.924,31.08,61.21
2026-02-06 01:00:00,529.52,0.908,33.45,59.4
2026-02-06 02:00:00,517.66,0.952,34.08,61.4
2026-02-06 03:00:00,542.51,0.958,34.71,65.84
2026-02-06 04:00:00,562.02,0.928,34.24,68.44
2026-02-06 05:00:00,572.79,0.981,37.82,75.31
2026-02-06 06:00:00,532.22,0.962,35.66,63.19
2026-02-06 07:00:00,572.21,0.973,37.26,69.81
2026-02-06 08:00:00,579.56,0.889,34.37,73.43
2026-02-06 09:00:00,610.17,0.853,34.39,79.41
2026-02-06 10:00:00,640.61,0.966,32.97,89.85
2026-02-06 11:00:00,643.12,0.881,33.19,91.32
2026-02-06 12:00:00,633.78,0.98,30.48,91.82
2026-02-06 13:00:00,648.65,0.908,30.09,93.01
2026-02-06 14:00:00,634.76,0.982,29.82,90.99
2026-02-06 15:00:00,625.22,0.908,27.22,87.59
2026-02-06 16:00:00,607.27,0.872,25.44,88.95
2026-02-06 17:00:00,607.56,0.863,25.4,81.75
2026-02-06 18:00:00,533.64,0.931,24.59,69.23
2026-02-06 19:00:00,504.01,0.83,26.44,59.96
2026-02-06 20:00:00,553.76,0.952,26.86,69.73
2026-02-06 21:00:00,536.27,0.93,27.38,65.15
2026-02-06 22:00:00,536.05,0.979,27.3,65.38
2026-02-06 23:00:00,525.8,0.977,27.6,65.25
2026-02-07 00:00:00,519.09,0.987,30.68,65.38
2026-02-07 01:00:00,528.13,0.879,32.13,62.27
2026-02-07 02:00:00,570.51,0.922,32.87,70.54
2026-02-07 03:00:00,569.57,0.973,34.08,70.22
2026-02-07 04:00:00,562.54,0.918,35.42,66.49
2026-02-07 05:00:00,510.87,0.93,37.02,55.54
2026-02-07 06:00:00,543.39,0.882,34.62,66.09
2026-02-07 07:00:00,542.49,0.959,35.86,66.1
2026-02-07 08:00:00,600.18,0.956,36.57,76.19
2026-02-07 09:00:00,615.37,0.915,32.93,82.89
2026-02-07 10:00:00,650.5,1.026,33.6,92.02
2026-02-07 11:00:00,644.22,0.923,32.45,91.12
2026-02-07 12:00:00,617.15,0.982,31.09,85.5
2026-02-07 13:00:00,673.62,1.027,31.21,100.0
2026-02-07 14:00:00,676.8,0.974,28.22,100.0
2026-02-07 15:00:00,637.12,0.961,26.49,94.25
2026-02-07 16:00:00,603.54,0.985,25.83,80.8
2026-02-07 17:00:00,617.36,1.003,25.72,84.35
2026-02-07 18:00:00,574.28,0.926,24.67,73.56
2026-02-07 19:00:00,519.82,0.884,24.3,61.1
2026-02-07 20:00:00,536.74,0.878,25.51,68.88
2026-02-07 21:00:00,584.04,0.91,26.85,76.56
2026-02-07 22:00:00,541.6,0.991,29.74,66.6
2026-02-07 23:00:00,539.41,0.853,29.0,65.93
2026-02-08 00:00:00,528.91,0.894,30.45,61.65
2026-02-08 01:00:00,534.96,0.87,31.18,64.34
2026-02-08 02:00:00,581.55,0.908,34.96,73.47
2026-02-08 03:00:00,554.85,0.939,35.22,64.85
2026-02-08 04:00:00,555.55,0.932,36.49,63.82
2026-02-08 05:00:00,555.19,0.919,36.74,63.94
2026-02-08 06:00:00,582.57,0.942,35.86,67.31
2026-02-08 07:00:00,557.86,0.94,36.5,61.63
2026-02-08 08:00:00,591.19,0.887,34.87,75.65
2026-02-08 09:00:00,600.94,0.959,35.32,77.76
2026-02-08 10:00:00,650.39,0.94,34.83,89.84
2026-02-08 11:00:00,687.95,0.958,34.75,98.86
2026-02-08 12:00:00,663.14,0.944,30.2,92.9
2026-02-08 13:00:00,660.92,0.924,30.69,97.37
2026-02-08 14:00:00,662.33,0.899,29.04,98.45
2026-02-08 15:00:00,645.66,0.957,26.06,94.76
2026-02-08 16:00:00,653.88,0.974,26.46,89.35
2026-02-08 17:00:00,627.21,0.931,26.91,86.26
2026-02-08 18:00:00,508.09,0.859,24.93,64.03
2026-02-08 19:00:00,531.84,0.933,26.08,65.42
2026-02-08 20:00:00,501.41,0.964,26.09,62.24
2026-02-08 21:00:00,546.54,0.92,27.43,67.63
2026-02-08 22:00:00,556.67,1.001,27.59,71.52
2026-02-08 23:00:00,697.15,1.035,29.66,67.09
2026-02-09 00:00:00,548.95,0.937,31.43,63.83
2026-02-09 01:00:00,572.04,0.929,31.94,68.5
2026-02-09 02:00:00,590.16,0.979,33.01,75.56
2026-02-09 03:00:00,556.02,0.953,34.83,65.19
2026-02-09 04:00:00,562.96,0.973,35.31,65.44
2026-02-09 05:00:00,570.35,0.948,36.35,67.92
2026-02-09 06:00:00,546.87,0.974,35.82,65.63
2026-02-09 07:00:00,565.92,0.984,37.12,69.97
2026-02-09 08:00:00,573.58,0.935,36.01,69.2
2026-02-09 09:00:00,586.87,0.936,33.62,78.88
2026-02-09 10:00:00,615.52,0.878,35.06,77.64
2026-02-09 11:00:00,642.63,1.016,31.67,92.37
2026-02-09 12:00:00,674.31,0.985,30.7,95.95
2026-02-09 13:00:00,649.94,0.934,30.61,93.13
2026-02-09 14:00:00,624.74,0.984,27.54,91.57
2026-02-09 15:00:00,650.53,1.036,28.97,93.13
2026-02-09 16:00:00,654.33,0.989,24.14,98.12
2026-02-09 17:00:00,554.46,0.959,23.09,75.88
2026-02-09 18:00:00,581.57,0.979,25.7,75.66
2026-02-09 19:00:00,528.33,0.935,24.4,65.22
2026-02-09 20:00:00,494.06,0.951,26.31,55.91
2026-02-09 21:00:00,565.11,0.904,26.35,69.63
2026-02-09 22:00:00,527.11,0.918,27.98,66.55
2026-02-09 23:00:00,545.27,0.863,29.84,63.06
2026-02-10 00:00:00,550.52,0.917,31.09,65.58
2026-02-10 01:00:00,541.95,0.921,32.2,63.52
2026-02-10 02:00:00,549.23,0.925,33.32,71.53
2026-02-10 03:00:00,545.08,0.92,34.7,62.63
2026-02-10 04:00:00,525.85,0.859,35.15,59.47
2026-02-10 05:00:00,573.97,0.939,37.37,65.8
2026-02-10 06:00:00,543.98,0.974,35.54,63.19
2026-02-10 07:00:00,572.89,0.986,36.56,73.05
2026-02-10 08:00:00,579.55,0.946,36.06,72.96
2026-02-10 09:00:00,627.35,0.994,33.29,86.32
2026-02-10 10:00:00,638.26,0.958,34.04,86.72
2026-02-10 11:00:00,628.63,0.989,33.44,86.18
2026-02-10 12:00:00,690.85,0.998,30.8,100.0
2026-02-10 13:00:00,659.96,0.966,30.18,93.41
2026-02-10 14:00:00,642.0,0.893,28.19,93.08
2026-02-10 15:00:00,679.31,0.884,27.26,97.21
2026-02-10 16:00:00,644.12,0.984,27.01,92.29
2026-02-10 17:00:00,593.83,0.907,25.54,83.42
2026-02-10 18:00:00,568.78,0.965,26.01,75.87
2026-02-10 19:00:00,575.66,1.01,24.29,73.98
2026-02-10 20:00:00,574.98,0.963,26.33,72.84
2026-02-10 21:00:00,557.98,0.917,25.52,69.96
2026-02-10 22:00:00,534.22,0.965,27.88,66.93
2026-02-10 23:00:00,500.36,0.977,28.96,57.31
